2020-11-27_14-29-16-618, ypr, 2.98, 6.71, 1.67, areal, 427, 952, -1670
2020-11-27_14-29-16-632, ypr, 2.86, 6.90, 1.65, areal, 621, 458, -1304
2020-11-27_14-29-16-649, ypr, 2.53, 7.43, 1.62, areal, 1384, 70, -3145
2020-11-27_14-29-16-666, ypr, 2.02, 7.73, 1.78, areal, 1292, 1601, -5701
2020-11-27_14-29-16-681, ypr, 1.68, 7.75, 1.69, areal, 1276, 1593, -4627
2020-11-27_14-29-16-699, ypr, 0.99, 7.63, 1.50, areal, 1673, 2019, -1822
2020-11-27_14-29-16-715, ypr, 0.25, 7.38, 1.47, areal, 2360, 1648, -1294
2020-11-27_14-29-16-731, ypr, -0.17, 7.21, 1.35, areal, 2654, 782, -1677
2020-11-27_14-29-16-748, ypr, -1.04, 6.63, 0.86, areal, 1811, -64, -5364
2020-11-27_14-29-16-765, ypr, -2.01, 5.63, 0.43, areal, 48, 854, -5017
2020-11-27_14-29-16-781, ypr, -2.49, 5.10, 0.11, areal, -139, 683, -2656
2020-11-27_14-29-16-799, ypr, -3.25, 4.50, -0.05, areal, 705, 1183, -1349
2020-11-27_14-29-16-817, ypr, -3.89, 3.88, -0.28, areal, 875, 104, -1572
2020-11-27_14-29-16-835, ypr, -4.56, 3.53, -0.26, areal, 1895, 1571, -5047
2020-11-27_14-29-16-850, ypr, -4.90, 3.24, -0.43, areal, 1574, 1185, -5259
2020-11-27_14-29-16-868, ypr, -5.51, 2.51, -1.19, areal, 838, 525, -1832
2020-11-27_14-29-16-886, ypr, -6.07, 1.60, -0.88, areal, -914, 2826, 2779
2020-11-27_14-29-16-906, ypr, -6.49, 1.37, -0.19, areal, 581, 2767, 938
2020-11-27_14-29-16-921, ypr, -6.65, 1.45, 0.18, areal, 1080, 2792, -2401
2020-11-27_14-29-16-937, ypr, -7.03, 1.24, -0.22, areal, 378, -1150, -3837
2020-11-27_14-29-16-955, ypr, -7.41, 0.99, -0.97, areal, 60, -2282, -974
2020-11-27_14-29-16-971, ypr, -7.64, 0.88, -1.01, areal, -101, -1852, 831
2020-11-27_14-29-16-989, ypr, -7.96, 0.86, -0.65, areal, 629, -146, 867
2020-11-27_14-29-17-006, ypr, -8.25, 1.21, 0.31, areal, 1737, 3643, -3980
2020-11-27_14-29-17-021, ypr, -8.40, 1.30, 0.66, areal, 1711, 4322, -4680
2020-11-27_14-29-17-037, ypr, -8.77, 1.38, 0.39, areal, 1871, 2485, -1491
2020-11-27_14-29-17-052, ypr, -8.92, 1.49, 0.07, areal, 2383, 879, 545
2020-11-27_14-29-17-068, ypr, -9.01, 1.81, -0.54, areal, 3278, -1618, 926
2020-11-27_14-29-17-086, ypr, -9.03, 2.18, -0.95, areal, 3394, -2691, -60
2020-11-27_14-29-17-102, ypr, -9.06, 2.38, -1.12, areal, 3406, -2524, 294
2020-11-27_14-29-17-119, ypr, -9.12, 2.91, -0.89, areal, 3972, -21, 1031
2020-11-27_14-29-17-136, ypr, -9.02, 3.39, -0.29, areal, 4260, 2095, 554
2020-11-27_14-29-17-151, ypr, -8.95, 3.58, -0.10, areal, 4274, 1959, 20
2020-11-27_14-29-17-167, ypr, -8.80, 3.88, -0.39, areal, 4083, -1137, -546
2020-11-27_14-29-17-185, ypr, -8.68, 3.90, -0.92, areal, 2994, -2061, 1956
2020-11-27_14-29-17-206, ypr, -8.51, 4.07, -0.16, areal, 2946, 1117, 715
2020-11-27_14-29-17-221, ypr, -8.39, 4.17, 0.14, areal, 2920, 1618, -400
2020-11-27_14-29-17-238, ypr, -8.06, 4.37, 0.39, areal, 2241, 864, -1738
2020-11-27_14-29-17-256, ypr, -7.69, 4.34, 0.32, areal, 1004, -459, 225
2020-11-27_14-29-17-270, ypr, -7.47, 4.39, 0.31, areal, 1015, -849, 887
2020-11-27_14-29-17-287, ypr, -6.96, 4.73, 0.37, areal, 864, -2399, -368
2020-11-27_14-29-17-307, ypr, -6.53, 5.02, 0.42, areal, 352, -2382, -139
