areal	0	0	0
ypr	-0.01	0.18	0.03
areal	0	-1	3
ypr	-0.01	0.18	0.03
areal	3	0	1
ypr	-0.01	0.18	0.03
areal	-1	-2	-2
ypr	-0.01	0.18	0.03
areal	0	-5	7
ypr	-0.01	0.18	0.03
areal	-3	-4	7
ypr	-0.01	0.18	0.03
areal	-5	-8	-3
ypr	-0.01	0.18	0.03
areal	-3	-6	-4
ypr	-0.01	0.18	0.03
areal	-2	-2	0
ypr	-0.01	0.18	0.03
areal	5	0	-3
ypr	-0.01	0.18	0.03
areal	5	-2	-3
ypr	-0.01	0.18	0.03
areal	4	-4	-4
ypr	-0.01	0.18	0.03
areal	1	-1	-1
ypr	-0.01	0.18	0.03
areal	-1	-1	7
ypr	-0.01	0.18	0.03
areal	-1	-5	5
ypr	-0.01	0.18	0.03
areal	2	-11	1
ypr	-0.01	0.18	0.03
areal	-1	-7	0
ypr	-0.01	0.18	0.03
areal	2	-6	-3
ypr	-0.01	0.18	0.03
areal	0	-8	0
ypr	-0.01	0.18	0.03
areal	-2	-15	0
ypr	-0.01	0.17	0.03
areal	-2	-14	-8
ypr	-0.01	0.17	0.03
areal	-5	-14	0
ypr	-0.01	0.17	0.03
areal	-5	-10	2
ypr	-0.01	0.17	0.03
areal	-6	-8	0
ypr	-0.01	0.17	0.03
areal	-5	-6	1
ypr	-0.01	0.17	0.03
areal	-2	-9	-5
ypr	-0.01	0.17	0.03
areal	0	-9	-3
ypr	-0.01	0.17	0.03
areal	-3	-9	-7
ypr	-0.01	0.17	0.03
areal	-1	-8	-11
ypr	-0.01	0.17	0.03
areal	-1	-9	-7
ypr	-0.01	0.17	0.03
areal	-3	-9	-4
ypr	-0.01	0.17	0.03
areal	-1	-9	0
ypr	-0.01	0.17	0.03
areal	-9	-7	-10
ypr	-0.01	0.17	0.03
areal	-9	-9	-11
ypr	-0.01	0.17	0.03
areal	-4	-7	-7
ypr	-0.01	0.17	0.03
areal	2	-7	-9
ypr	-0.01	0.17	0.03
areal	2	-6	-8
ypr	-0.01	0.17	0.03
areal	-1	-4	1
ypr	-0.01	0.17	0.03
areal	1	-2	4
ypr	-0.01	0.17	0.03
areal	5	-2	-1
ypr	-0.01	0.17	0.03
areal	5	-1	-1
ypr	-0.01	0.17	0.03
areal	8	0	-1
ypr	-0.01	0.17	0.03
areal	1	-4	0
ypr	-0.01	0.17	0.03
areal	0	-8	4
ypr	-0.01	0.17	0.03
areal	0	-5	5
ypr	-0.01	0.17	0.03
areal	0	-5	4
ypr	-0.01	0.17	0.03
areal	0	-3	-2
ypr	-0.01	0.17	0.03
areal	0	-3	-1
ypr	-0.01	0.17	0.03
areal	1	-7	2
ypr	-0.01	0.17	0.03
areal	-1	-7	0
ypr	-0.01	0.17	0.03
areal	-4	-9	-4
ypr	-0.01	0.17	0.03
areal	-1	-9	-6
ypr	-0.01	0.17	0.03
areal	2	-9	0
ypr	-0.01	0.17	0.03
areal	-4	-7	-2
ypr	-0.01	0.17	0.03
areal	-7	-8	2
ypr	-0.01	0.17	0.03
