2020-11-27_14-39-36-528, ypr, -67.74, -14.92, -1.50, areal, 1745, 85, 509
2020-11-27_14-39-36-549, ypr, -67.82, -14.75, -1.50, areal, 1760, 63, 537
2020-11-27_14-39-36-566, ypr, -67.87, -14.54, -1.50, areal, 1769, 49, 572
2020-11-27_14-39-36-581, ypr, -67.89, -14.43, -1.50, areal, 1774, 49, 582
2020-11-27_14-39-36-599, ypr, -67.92, -14.17, -1.49, areal, 1790, 51, 551
2020-11-27_14-39-36-616, ypr, -67.94, -13.90, -1.49, areal, 1762, 51, 564
2020-11-27_14-39-36-631, ypr, -67.95, -13.76, -1.48, areal, 1736, 66, 583
2020-11-27_14-39-36-649, ypr, -67.97, -13.49, -1.47, areal, 1700, 82, 550
2020-11-27_14-39-36-666, ypr, -68.00, -13.21, -1.47, areal, 1656, 71, 505
2020-11-27_14-39-36-681, ypr, -68.01, -13.07, -1.46, areal, 1631, 63, 489
2020-11-27_14-39-36-698, ypr, -68.05, -12.79, -1.46, areal, 1642, 63, 472
2020-11-27_14-39-36-713, ypr, -68.08, -12.66, -1.46, areal, 1672, 79, 468
2020-11-27_14-39-36-731, ypr, -68.13, -12.37, -1.45, areal, 1734, 109, 468
2020-11-27_14-39-36-748, ypr, -68.19, -12.09, -1.44, areal, 1811, 103, 462
2020-11-27_14-39-36-763, ypr, -68.23, -11.96, -1.44, areal, 1846, 95, 454
2020-11-27_14-39-36-780, ypr, -68.32, -11.71, -1.44, areal, 1847, 108, 435
2020-11-27_14-39-36-797, ypr, -68.42, -11.49, -1.43, areal, 1809, 130, 426
2020-11-27_14-39-36-813, ypr, -68.47, -11.38, -1.43, areal, 1807, 139, 410
2020-11-27_14-39-36-830, ypr, -68.58, -11.17, -1.43, areal, 1850, 116, 391
2020-11-27_14-39-36-851, ypr, -68.71, -10.97, -1.43, areal, 1914, 99, 398
2020-11-27_14-39-36-868, ypr, -68.84, -10.78, -1.43, areal, 1973, 122, 388
2020-11-27_14-39-36-883, ypr, -68.92, -10.70, -1.43, areal, 1987, 153, 383
2020-11-27_14-39-36-902, ypr, -69.08, -10.56, -1.41, areal, 2002, 188, 357
2020-11-27_14-39-36-919, ypr, -69.25, -10.45, -1.43, areal, 1983, 157, 349
2020-11-27_14-39-36-938, ypr, -69.43, -10.36, -1.44, areal, 1964, 132, 330
2020-11-27_14-39-36-956, ypr, -69.62, -10.27, -1.44, areal, 1985, 153, 322
2020-11-27_14-39-36-971, ypr, -69.71, -10.23, -1.44, areal, 1993, 174, 323
2020-11-27_14-39-36-990, ypr, -69.89, -10.14, -1.44, areal, 2041, 194, 330
2020-11-27_14-39-37-007, ypr, -70.06, -10.04, -1.44, areal, 2085, 184, 332
2020-11-27_14-39-37-022, ypr, -70.14, -9.99, -1.44, areal, 2087, 170, 322
2020-11-27_14-39-37-041, ypr, -70.29, -9.90, -1.45, areal, 2071, 157, 299
2020-11-27_14-39-37-059, ypr, -70.43, -9.79, -1.45, areal, 2042, 178, 312
2020-11-27_14-39-37-078, ypr, -70.55, -9.65, -1.44, areal, 2031, 203, 333
2020-11-27_14-39-37-093, ypr, -70.60, -9.58, -1.43, areal, 2029, 204, 333
2020-11-27_14-39-37-111, ypr, -70.69, -9.42, -1.43, areal, 2026, 175, 347
2020-11-27_14-39-37-129, ypr, -70.76, -9.26, -1.43, areal, 2017, 144, 374
2020-11-27_14-39-37-147, ypr, -70.81, -9.09, -1.42, areal, 1966, 133, 390
2020-11-27_14-39-37-164, ypr, -70.84, -9.00, -1.42, areal, 1936, 136, 408
2020-11-27_14-39-37-182, ypr, -70.87, -8.81, -1.41, areal, 1882, 138, 430
2020-11-27_14-39-37-199, ypr, -70.89, -8.61, -1.40, areal, 1850, 117, 454
2020-11-27_14-39-37-217, ypr, -70.89, -8.41, -1.39, areal, 1846, 91, 456
2020-11-27_14-39-37-233, ypr, -70.89, -8.31, -1.39, areal, 1841, 86, 457
2020-11-27_14-39-37-252, ypr, -70.89, -8.10, -1.38, areal, 1807, 96, 480
2020-11-27_14-39-37-269, ypr, -70.89, -7.91, -1.36, areal, 1747, 104, 471
2020-11-27_14-39-37-286, ypr, -70.88, -7.72, -1.35, areal, 1696, 101, 455
2020-11-27_14-39-37-303, ypr, -70.88, -7.63, -1.34, areal, 1676, 94, 450
2020-11-27_14-39-37-320, ypr, -70.85, -7.44, -1.33, areal, 1655, 90, 434
2020-11-27_14-39-37-337, ypr, -70.84, -7.26, -1.32, areal, 1626, 91, 444
2020-11-27_14-39-37-354, ypr, -70.83, -7.17, -1.31, areal, 1604, 98, 441
2020-11-27_14-39-37-371, ypr, -70.83, -7.02, -1.29, areal, 1538, 92, 415
2020-11-27_14-39-37-388, ypr, -70.84, -6.90, -1.29, areal, 1455, 89, 390
2020-11-27_14-39-37-403, ypr, -70.85, -6.84, -1.27, areal, 1417, 86, 380
2020-11-27_14-39-37-421, ypr, -70.86, -6.73, -1.27, areal, 1376, 93, 367
2020-11-27_14-39-37-438, ypr, -70.89, -6.63, -1.26, areal, 1355, 102, 337
2020-11-27_14-39-37-459, ypr, -70.92, -6.53, -1.25, areal, 1351, 103, 333
2020-11-27_14-39-37-477, ypr, -70.95, -6.44, -1.24, areal, 1331, 99, 319
2020-11-27_14-39-37-492, ypr, -70.96, -6.40, -1.24, areal, 1331, 104, 304
2020-11-27_14-39-37-510, ypr, -71.00, -6.30, -1.24, areal, 1310, 113, 283
2020-11-27_14-39-37-527, ypr, -71.04, -6.21, -1.22, areal, 1279, 126, 262
2020-11-27_14-39-37-543, ypr, -71.05, -6.16, -1.23, areal, 1269, 128, 254
2020-11-27_14-39-37-562, ypr, -71.07, -6.04, -1.21, areal, 1263, 120, 246
2020-11-27_14-39-37-579, ypr, -71.09, -5.90, -1.21, areal, 1268, 121, 257
2020-11-27_14-39-37-596, ypr, -71.08, -5.76, -1.19, areal, 1276, 124, 269
2020-11-27_14-39-37-611, ypr, -71.08, -5.67, -1.18, areal, 1272, 123, 272
2020-11-27_14-39-37-629, ypr, -71.07, -5.51, -1.17, areal, 1277, 109, 277
2020-11-27_14-39-37-644, ypr, -71.06, -5.43, -1.17, areal, 1273, 109, 279
2020-11-27_14-39-37-661, ypr, -71.06, -5.26, -1.15, areal, 1259, 101, 297
2020-11-27_14-39-37-678, ypr, -71.04, -5.11, -1.14, areal, 1256, 96, 304
2020-11-27_14-39-37-694, ypr, -71.05, -5.02, -1.13, areal, 1253, 93, 296
2020-11-27_14-39-37-711, ypr, -71.03, -4.87, -1.12, areal, 1234, 87, 309
2020-11-27_14-39-37-728, ypr, -71.03, -4.73, -1.11, areal, 1229, 86, 327
2020-11-27_14-39-37-743, ypr, -71.03, -4.65, -1.10, areal, 1236, 85, 324
2020-11-27_14-39-37-764, ypr, -71.02, -4.51, -1.09, areal, 1258, 89, 306
2020-11-27_14-39-37-781, ypr, -71.04, -4.39, -1.08, areal, 1264, 77, 294
2020-11-27_14-39-37-799, ypr, -71.04, -4.28, -1.08, areal, 1254, 77, 302
2020-11-27_14-39-37-814, ypr, -71.06, -4.23, -1.07, areal, 1242, 92, 291
2020-11-27_14-39-37-831, ypr, -71.06, -4.13, -1.06, areal, 1207, 93, 295
2020-11-27_14-39-37-849, ypr, -71.06, -4.03, -1.06, areal, 1173, 79, 306
2020-11-27_14-39-37-864, ypr, -71.06, -3.97, -1.05, areal, 1162, 70, 310
2020-11-27_14-39-37-881, ypr, -71.04, -3.85, -1.04, areal, 1146, 68, 309
2020-11-27_14-39-37-898, ypr, -71.00, -3.72, -1.02, areal, 1132, 74, 319
2020-11-27_14-39-37-914, ypr, -70.99, -3.65, -1.01, areal, 1118, 70, 332
2020-11-27_14-39-37-931, ypr, -70.94, -3.51, -0.99, areal, 1089, 57, 337
2020-11-27_14-39-37-948, ypr, -70.89, -3.38, -0.97, areal, 1029, 55, 327
2020-11-27_14-39-37-963, ypr, -70.86, -3.32, -0.96, areal, 989, 62, 323
2020-11-27_14-39-37-981, ypr, -70.81, -3.18, -0.93, areal, 904, 76, 302
2020-11-27_14-39-37-998, ypr, -70.73, -3.05, -0.91, areal, 776, 72, 258
2020-11-27_14-39-38-013, ypr, -70.69, -2.98, -0.90, areal, 691, 65, 229
2020-11-27_14-39-38-030, ypr, -70.59, -2.83, -0.87, areal, 527, 54, 180
2020-11-27_14-39-38-048, ypr, -70.48, -2.63, -0.83, areal, 413, 58, 125
2020-11-27_14-39-38-064, ypr, -70.41, -2.52, -0.81, areal, 362, 50, 114
2020-11-27_14-39-38-086, ypr, -70.17, -2.11, -0.75, areal, 281, 48, 119
2020-11-27_14-39-38-102, ypr, -70.08, -1.96, -0.72, areal, 280, 61, 125
2020-11-27_14-39-38-119, ypr, -69.89, -1.61, -0.67, areal, 253, 44, 121
2020-11-27_14-39-38-138, ypr, -69.68, -1.23, -0.62, areal, 203, 25, 145
2020-11-27_14-39-38-153, ypr, -69.56, -1.01, -0.59, areal, 197, 13, 162
2020-11-27_14-39-38-171, ypr, -69.29, -0.53, -0.52, areal, 199, -2, 201
2020-11-27_14-39-38-191, ypr, -68.98, 0.03, -0.43, areal, 225, -8, 230
2020-11-27_14-39-38-208, ypr, -68.62, 0.64, -0.33, areal, 218, -31, 274
2020-11-27_14-39-38-224, ypr, -68.42, 0.96, -0.27, areal, 213, -35, 278
2020-11-27_14-39-38-241, ypr, -68.00, 1.66, -0.14, areal, 225, -56, 332
2020-11-27_14-39-38-258, ypr, -67.54, 2.39, 0.01, areal, 236, -67, 355
2020-11-27_14-39-38-273, ypr, -67.29, 2.76, 0.10, areal, 240, -66, 365
2020-11-27_14-39-38-290, ypr, -66.79, 3.52, 0.28, areal, 262, -93, 395
