2020-11-20_16-30-55.84, ypr, 1.26, 1.25, 2.75, areal, -230, -488, -6
2020-11-20_16-30-55.87, ypr, 1.25, 1.22, 2.69, areal, -226, -471, -4
2020-11-20_16-30-55.89, ypr, 1.25, 1.19, 2.62, areal, -211, -458, -3
2020-11-20_16-30-55.92, ypr, 1.25, 1.16, 2.55, areal, -204, -441, -1
2020-11-20_16-30-55.94, ypr, 1.25, 1.15, 2.52, areal, -203, -451, 0
2020-11-20_16-30-55.97, ypr, 1.24, 1.12, 2.44, areal, -200, -445, -8
2020-11-20_16-30-55.99, ypr, 1.24, 1.10, 2.37, areal, -190, -430, -1
2020-11-20_16-30-55.9999, ypr, 1.23, 1.08, 2.31, areal, -190, -414, -4
2020-11-20_16-30-55.9999, ypr, 1.22, 1.06, 2.26, areal, -186, -399, -13
2020-11-20_16-30-55.9999, ypr, 1.22, 1.03, 2.20, areal, -192, -385, -10
2020-11-20_16-30-55.9999, ypr, 1.21, 1.02, 2.18, areal, -184, -381, -6
2020-11-20_16-30-55.9999, ypr, 1.21, 0.99, 2.12, areal, -188, -383, -15
2020-11-20_16-30-55.9999, ypr, 1.21, 0.96, 2.07, areal, -181, -370, -9
2020-11-20_16-30-55.9999, ypr, 1.22, 0.94, 2.05, areal, -183, -367, -6
2020-11-20_16-30-55.9999, ypr, 1.24, 0.89, 1.99, areal, -178, -371, -18
2020-11-20_16-30-55.9999, ypr, 1.27, 0.82, 1.92, areal, -161, -354, -17
2020-11-20_16-30-55.9999, ypr, 1.33, 0.75, 1.85, areal, -163, -335, -66
2020-11-20_16-30-55.9999, ypr, 1.36, 0.61, 1.81, areal, -162, -294, -216
2020-11-20_16-30-55.9999, ypr, 1.46, -0.19, 1.63, areal, -298, -139, -305
2020-11-20_16-30-55.9999, ypr, 1.79, -1.50, 1.38, areal, 287, -191, -485
2020-11-20_16-30-55.9999, ypr, 1.93, -3.16, 1.33, areal, 1281, 150, -1256
2020-11-20_16-30-55.9999, ypr, 2.00, -4.10, 1.44, areal, 1734, 38, -1562
2020-11-20_16-30-55.9999, ypr, 1.87, -6.19, 1.41, areal, 2198, -77, -1695
2020-11-20_16-30-55.9999, ypr, 1.79, -8.71, 1.18, areal, 2843, -83, -1824
2020-11-20_16-30-56.00, ypr, 1.70, -12.31, 0.68, areal, 3751, 79, -2017
2020-11-20_16-30-56.02, ypr, 1.57, -15.09, 0.30, areal, 4179, 86, -1887
2020-11-20_16-30-56.04, ypr, 1.11, -21.35, -0.89, areal, 5183, -33, -815
2020-11-20_16-30-56.06, ypr, 0.45, -27.74, -2.37, areal, 6499, 131, 340
2020-11-20_16-30-56.09, ypr, -0.73, -34.62, -4.12, areal, 8108, 464, 1378
2020-11-20_16-30-56.11, ypr, -1.70, -37.97, -5.01, areal, 8750, 520, 2212
2020-11-20_16-30-56.13, ypr, -3.92, -43.34, -6.36, areal, 9432, 512, 4130
2020-11-20_16-30-56.15, ypr, -6.07, -47.72, -7.42, areal, 10784, 1002, 5305
2020-11-20_16-30-56.17, ypr, -8.59, -52.15, -8.97, areal, 13072, 1534, 6355
2020-11-20_16-30-56.19, ypr, -10.30, -54.40, -9.83, areal, 14082, 1799, 6831
2020-11-20_16-30-56.22, ypr, -15.52, -59.25, -11.63, areal, 14686, 1701, 7710
2020-11-20_16-30-56.24, ypr, -22.47, -63.85, -12.27, areal, 13464, 1566, 8688
2020-11-20_16-30-56.26, ypr, -26.05, -65.85, -12.29, areal, 12755, 1139, 9732
2020-11-20_16-30-56.28, ypr, -33.02, -69.08, -11.19, areal, 11544, 701, 11673
2020-11-20_16-30-56.30, ypr, -38.68, -71.10, -8.79, areal, 12022, 760, 12767
2020-11-20_16-30-56.32, ypr, -44.57, -72.55, -4.12, areal, 12553, 1040, 13396
2020-11-20_16-30-56.35, ypr, -46.61, -72.85, -1.62, areal, 11925, 753, 13575
2020-11-20_16-30-56.37, ypr, -46.67, -71.50, 3.83, areal, 11271, -701, 13633
2020-11-20_16-30-56.39, ypr, -44.84, -70.30, 4.28, areal, 11569, -968, 13515
