2020-11-27_14-53-36-378, ypr, 86.49, -0.31, -0.65, areal, -1093, 82, 1799
2020-11-27_14-53-36-396, ypr, 84.78, -0.68, -1.01, areal, -188, 579, -2223
2020-11-27_14-53-36-414, ypr, 83.06, -1.17, -1.54, areal, -688, 154, 219
2020-11-27_14-53-36-430, ypr, 82.14, -1.55, -2.10, areal, -626, -1676, 2123
2020-11-27_14-53-36-454, ypr, 79.41, -2.34, -3.33, areal, 512, -3187, -1982
2020-11-27_14-53-36-470, ypr, 78.45, -2.80, -4.03, areal, 17, -3882, -1395
2020-11-27_14-53-36-489, ypr, 76.41, -3.92, -4.26, areal, -926, -39, 1854
2020-11-27_14-53-36-508, ypr, 74.12, -4.97, -4.20, areal, -1, 1087, 1784
2020-11-27_14-53-36-526, ypr, 71.94, -5.75, -4.74, areal, 1507, -938, -1374
2020-11-27_14-53-36-546, ypr, 69.78, -6.97, -5.91, areal, 1575, -2168, -3577
2020-11-27_14-53-36-564, ypr, 67.45, -8.46, -6.73, areal, -24, -906, 1028
2020-11-27_14-53-36-580, ypr, 66.19, -9.47, -6.69, areal, -837, 347, 2988
2020-11-27_14-53-36-599, ypr, 63.54, -10.99, -6.04, areal, -583, 1768, 4608
2020-11-27_14-53-36-617, ypr, 60.87, -12.58, -5.77, areal, 795, 370, 1008
2020-11-27_14-53-36-636, ypr, 58.20, -14.06, -5.92, areal, 2622, 173, -3004
2020-11-27_14-53-36-654, ypr, 55.51, -16.01, -6.54, areal, 799, -1779, 1971
2020-11-27_14-53-36-670, ypr, 53.97, -16.97, -6.31, areal, 1053, -626, 3051
2020-11-27_14-53-36-688, ypr, 50.77, -18.50, -5.94, areal, 1676, -1191, 3908
2020-11-27_14-53-36-706, ypr, 47.54, -20.40, -5.58, areal, 3439, -80, 1538
2020-11-27_14-53-36-721, ypr, 45.90, -21.35, -5.32, areal, 2969, 834, 2600
2020-11-27_14-53-36-738, ypr, 42.65, -23.76, -4.34, areal, -1123, 1880, 5568
2020-11-27_14-53-36-760, ypr, 38.81, -25.68, -3.87, areal, 42, -4028, 5068
2020-11-27_14-53-36-778, ypr, 34.88, -27.32, -4.11, areal, 3224, -6752, 2456
2020-11-27_14-53-36-795, ypr, 30.66, -29.38, -3.35, areal, 4207, -5544, 886
2020-11-27_14-53-36-812, ypr, 28.56, -30.71, -2.20, areal, 1215, -152, 1576
2020-11-27_14-53-36-830, ypr, 23.33, -32.76, 0.36, areal, -256, 3974, 2769
2020-11-27_14-53-36-847, ypr, 17.73, -34.68, 0.43, areal, -3026, -5419, 5846
2020-11-27_14-53-36-864, ypr, 10.91, -35.56, 2.00, areal, 2371, -1164, 2264
2020-11-27_14-53-36-879, ypr, 7.63, -36.03, 3.05, areal, 1046, -907, 2400
2020-11-27_14-53-36-897, ypr, 0.73, -37.17, 2.72, areal, 1729, -6990, -442
2020-11-27_14-53-36-914, ypr, -7.12, -38.38, 2.75, areal, 1549, -4222, -1596
2020-11-27_14-53-36-930, ypr, -11.07, -38.94, 2.55, areal, 671, -4663, -1494
2020-11-27_14-53-36-948, ypr, -19.31, -39.61, 0.15, areal, 647, -8968, -2626
2020-11-27_14-53-36-967, ypr, -27.61, -40.61, -2.37, areal, 3154, -9878, -4425
2020-11-27_14-53-36-985, ypr, -35.03, -41.88, -5.39, areal, 4018, -9520, -6191
2020-11-27_14-53-37-002, ypr, -38.82, -42.86, -6.60, areal, 4038, -7215, -8841
2020-11-27_14-53-37-020, ypr, -46.68, -45.89, -9.42, areal, 1497, -3776, -13607
2020-11-27_14-53-37-039, ypr, -54.32, -49.85, -14.80, areal, -375, -8615, -9103
2020-11-27_14-53-37-060, ypr, -60.85, -53.23, -19.52, areal, 2016, -11280, 757
2020-11-27_14-53-37-080, ypr, -65.88, -57.25, -22.79, areal, -3102, -12796, 6355
2020-11-27_14-53-37-099, ypr, -68.71, -58.53, -22.97, areal, -833, -13704, 9237
2020-11-27_14-53-37-117, ypr, -67.74, -56.81, -24.77, areal, 2180, -13959, 9798
2020-11-27_14-53-37-136, ypr, -68.81, -56.72, -23.47, areal, 2146, -9544, 4142
2020-11-27_14-53-37-154, ypr, -66.70, -52.60, -22.23, areal, 8966, -8146, 2981
2020-11-27_14-53-37-170, ypr, -65.94, -51.81, -22.83, areal, 4570, -9673, 4627
2020-11-27_14-53-37-188, ypr, -65.16, -49.99, -21.82, areal, 5714, -6265, 889
2020-11-27_14-53-37-206, ypr, -64.17, -47.69, -20.67, areal, 6763, -3569, -1697
2020-11-27_14-53-37-225, ypr, -62.81, -45.57, -20.46, areal, 6300, -5376, -359
2020-11-27_14-53-37-241, ypr, -62.09, -44.13, -20.24, areal, 7379, -6408, -326
2020-11-27_14-53-37-260, ypr, -63.07, -44.93, -20.78, areal, 8503, -7057, -4545
2020-11-27_14-53-37-279, ypr, -68.58, -51.80, -21.30, areal, 5832, -6851, -3154
2020-11-27_14-53-37-297, ypr, -71.33, -53.80, -20.80, areal, 10057, -4329, -914
2020-11-27_14-53-37-316, ypr, -74.72, -57.41, -18.77, areal, 4442, -4522, 201
2020-11-27_14-53-37-332, ypr, -75.28, -57.48, -18.51, areal, 5974, -7313, 3054
2020-11-27_14-53-37-350, ypr, -76.78, -59.57, -17.40, areal, 3912, -8241, 2513
2020-11-27_14-53-37-374, ypr, -78.36, -59.18, -13.43, areal, 9868, -7137, 0
2020-11-27_14-53-37-390, ypr, -79.51, -60.95, -12.55, areal, 6378, -6813, -2193
2020-11-27_14-53-37-409, ypr, -82.01, -63.63, -10.06, areal, 4383, -9247, 786
2020-11-27_14-53-37-428, ypr, -85.27, -65.73, -4.69, areal, 6050, -9570, 3067
2020-11-27_14-53-37-446, ypr, -87.37, -67.51, -0.67, areal, 1780, -10365, 2231
2020-11-27_14-53-37-462, ypr, -89.36, -68.80, 4.22, areal, 1908, -8942, -415
2020-11-27_14-53-37-480, ypr, -91.29, -69.40, 8.94, areal, 914, -12695, 3719
2020-11-27_14-53-37-498, ypr, -94.38, -69.93, 17.82, areal, 5506, -7980, -924
2020-11-27_14-53-37-516, ypr, -96.52, -70.72, 24.07, areal, 1771, -12485, 821
2020-11-27_14-53-37-531, ypr, -98.27, -70.45, 29.27, areal, 7070, -8271, -666
2020-11-27_14-53-37-550, ypr, -100.86, -70.08, 35.99, areal, 6509, -3505, 1927
2020-11-27_14-53-37-567, ypr, -100.74, -71.86, 38.38, areal, 1310, -3371, 380
2020-11-27_14-53-37-585, ypr, -98.77, -73.75, 33.87, areal, -2219, -6223, 954
2020-11-27_14-53-37-601, ypr, -98.69, -74.53, 34.89, areal, -1636, -6463, 409
2020-11-27_14-53-37-619, ypr, -96.65, -74.36, 25.22, areal, 8286, -7317, 2375
2020-11-27_14-53-37-637, ypr, -95.83, -75.63, 23.24, areal, 7575, -7249, 1176
2020-11-27_14-53-37-654, ypr, -94.27, -76.22, 16.61, areal, 5492, -8676, 2856
2020-11-27_14-53-37-672, ypr, -93.04, -76.15, 10.87, areal, 6584, -10009, 5041
2020-11-27_14-53-37-691, ypr, -91.64, -76.21, 4.50, areal, 5399, -9395, 3109
2020-11-27_14-53-37-709, ypr, -90.22, -76.24, -1.88, areal, 647, -9761, 1347
2020-11-27_14-53-37-728, ypr, -89.76, -75.64, -4.33, areal, 1160, -11565, 3288
2020-11-27_14-53-37-746, ypr, -89.48, -74.32, -5.69, areal, 1607, -11158, 2747
2020-11-27_14-53-37-762, ypr, -89.67, -73.75, -5.12, areal, 3303, -10643, 2532
2020-11-27_14-53-37-780, ypr, -89.93, -72.18, -4.59, areal, 6414, -9778, 2493
2020-11-27_14-53-37-798, ypr, -90.44, -70.94, -3.39, areal, 7480, -8367, 1543
2020-11-27_14-53-37-816, ypr, -91.23, -69.35, -1.67, areal, 14347, -5220, 1377
2020-11-27_14-53-37-835, ypr, -89.93, -68.23, -5.54, areal, 5731, -9142, -365
2020-11-27_14-53-37-851, ypr, -88.70, -67.90, -8.83, areal, 3284, -10806, 341
2020-11-27_14-53-37-869, ypr, -88.07, -65.93, -9.65, areal, 5435, -5244, -2612
2020-11-27_14-53-37-888, ypr, -85.29, -62.92, -14.70, areal, 7814, -7437, 236
2020-11-27_14-53-37-906, ypr, -83.83, -61.38, -16.78, areal, 3636, -4056, -1993
2020-11-27_14-53-37-922, ypr, -82.92, -60.06, -18.34, areal, 3743, -6806, 1377
2020-11-27_14-53-37-940, ypr, -81.41, -58.64, -20.87, areal, -827, -9459, 3661
2020-11-27_14-53-37-959, ypr, -79.73, -57.17, -23.81, areal, -327, -11611, 6232
2020-11-27_14-53-37-982, ypr, -78.70, -56.46, -25.71, areal, 1318, -9372, 3897
2020-11-27_14-53-38-000, ypr, -77.47, -55.52, -27.78, areal, 1689, -9812, 3732
2020-11-27_14-53-38-018, ypr, -76.70, -54.82, -28.78, areal, 2390, -6095, 730
2020-11-27_14-53-38-038, ypr, -75.86, -53.67, -29.92, areal, 928, -6928, 3479
2020-11-27_14-53-38-057, ypr, -74.41, -51.95, -31.64, areal, 156, -9083, 6972
2020-11-27_14-53-38-075, ypr, -72.85, -51.36, -33.59, areal, -3644, -7896, 3545
2020-11-27_14-53-38-096, ypr, -72.34, -50.17, -33.77, areal, 919, -5618, 1536
2020-11-27_14-53-38-112, ypr, -71.55, -48.49, -34.05, areal, 5230, -7055, 3766
2020-11-27_14-53-38-130, ypr, -70.61, -47.68, -35.05, areal, 4572, -4419, 589
2020-11-27_14-53-38-149, ypr, -70.03, -47.26, -36.23, areal, 910, -7887, 2892
2020-11-27_14-53-38-168, ypr, -68.94, -46.33, -37.51, areal, 913, -10126, 4468
2020-11-27_14-53-38-187, ypr, -68.30, -46.24, -38.69, areal, -900, -11055, 3439
2020-11-27_14-53-38-209, ypr, -67.92, -45.96, -39.40, areal, 1613, -8949, 1974
2020-11-27_14-53-38-227, ypr, -67.64, -45.74, -39.92, areal, 518, -8195, 2179
2020-11-27_14-53-38-246, ypr, -67.38, -45.37, -40.23, areal, 435, -6914, 2406
2020-11-27_14-53-38-262, ypr, -67.15, -45.18, -40.50, areal, -430, -7065, 2527
2020-11-27_14-53-38-281, ypr, -66.39, -44.50, -41.29, areal, 400, -7175, 2026
2020-11-27_14-53-38-302, ypr, -65.61, -43.82, -42.13, areal, 80, -8004, 2192
2020-11-27_14-53-38-320, ypr, -64.89, -43.02, -42.77, areal, 8, -8359, 2612
2020-11-27_14-53-38-340, ypr, -64.24, -42.33, -43.35, areal, -113, -8551, 3307
2020-11-27_14-53-38-359, ypr, -63.66, -41.77, -43.88, areal, -269, -7935, 2951
2020-11-27_14-53-38-377, ypr, -63.07, -41.13, -44.42, areal, 172, -7877, 2962
2020-11-27_14-53-38-398, ypr, -62.57, -40.65, -44.91, areal, 39, -7912, 3032
2020-11-27_14-53-38-416, ypr, -62.12, -40.19, -45.35, areal, -399, -7903, 3142
2020-11-27_14-53-38-432, ypr, -61.88, -40.01, -45.62, areal, -539, -7790, 2959
2020-11-27_14-53-38-452, ypr, -61.35, -39.54, -46.15, areal, -407, -7585, 2677
2020-11-27_14-53-38-471, ypr, -60.83, -39.06, -46.64, areal, -299, -7448, 2587
2020-11-27_14-53-38-491, ypr, -60.33, -38.54, -47.06, areal, -506, -7506, 2751
2020-11-27_14-53-38-510, ypr, -59.82, -38.01, -47.47, areal, -572, -7596, 2972
2020-11-27_14-53-38-529, ypr, -59.34, -37.54, -47.88, areal, -439, -7463, 2892
2020-11-27_14-53-38-549, ypr, -58.92, -37.09, -48.24, areal, -560, -7435, 3013
2020-11-27_14-53-38-567, ypr, -58.53, -36.69, -48.56, areal, -646, -7234, 3055
2020-11-27_14-53-38-586, ypr, -58.11, -36.32, -48.94, areal, -734, -7127, 2833
2020-11-27_14-53-38-607, ypr, -57.64, -35.89, -49.34, areal, -777, -7269, 2764
2020-11-27_14-53-38-625, ypr, -57.22, -35.45, -49.68, areal, -747, -7238, 2824
2020-11-27_14-53-38-645, ypr, -56.84, -35.06, -49.97, areal, -876, -7125, 2981
2020-11-27_14-53-38-662, ypr, -56.65, -34.87, -50.11, areal, -870, -7018, 3005
2020-11-27_14-53-38-680, ypr, -56.28, -34.49, -50.39, areal, -869, -6977, 3009
2020-11-27_14-53-38-701, ypr, -55.91, -34.12, -50.69, areal, -897, -6995, 2952
2020-11-27_14-53-38-720, ypr, -55.54, -33.78, -50.99, areal, -1021, -7062, 2991
2020-11-27_14-53-38-738, ypr, -55.20, -33.45, -51.25, areal, -1070, -6903, 2941
2020-11-27_14-53-38-758, ypr, -54.86, -33.11, -51.52, areal, -1047, -6738, 2806
2020-11-27_14-53-38-777, ypr, -54.51, -32.74, -51.77, areal, -1103, -6885, 3001
2020-11-27_14-53-38-796, ypr, -54.18, -32.41, -52.00, areal, -1163, -6882, 3112
2020-11-27_14-53-38-819, ypr, -53.88, -32.12, -52.23, areal, -1184, -6717, 2976
2020-11-27_14-53-38-837, ypr, -53.57, -31.82, -52.47, areal, -1219, -6710, 2998
2020-11-27_14-53-38-858, ypr, -53.27, -31.53, -52.68, areal, -1263, -6710, 2984
2020-11-27_14-53-38-877, ypr, -52.98, -31.24, -52.90, areal, -1321, -6682, 2974
2020-11-27_14-53-38-895, ypr, -52.69, -30.95, -53.10, areal, -1328, -6634, 3047
2020-11-27_14-53-38-915, ypr, -52.42, -30.68, -53.29, areal, -1337, -6538, 3036
2020-11-27_14-53-38-932, ypr, -52.28, -30.54, -53.38, areal, -1373, -6530, 3020
2020-11-27_14-53-38-950, ypr, -52.01, -30.28, -53.57, areal, -1396, -6602, 3090
2020-11-27_14-53-38-969, ypr, -51.76, -30.03, -53.75, areal, -1441, -6555, 3064
2020-11-27_14-53-38-987, ypr, -51.51, -29.79, -53.93, areal, -1485, -6462, 2984
2020-11-27_14-53-39-006, ypr, -51.27, -29.55, -54.09, areal, -1498, -6477, 3075
2020-11-27_14-53-39-022, ypr, -51.15, -29.43, -54.17, areal, -1524, -6466, 3100
2020-11-27_14-53-39-041, ypr, -50.92, -29.20, -54.33, areal, -1556, -6398, 3047
2020-11-27_14-53-39-060, ypr, -50.68, -28.96, -54.49, areal, -1567, -6442, 3101
2020-11-27_14-53-39-078, ypr, -50.46, -28.75, -54.64, areal, -1582, -6409, 3103
2020-11-27_14-53-39-097, ypr, -50.25, -28.55, -54.78, areal, -1632, -6331, 3048
2020-11-27_14-53-39-115, ypr, -50.04, -28.34, -54.92, areal, -1654, -6365, 3116
2020-11-27_14-53-39-132, ypr, -49.94, -28.23, -54.99, areal, -1668, -6349, 3126
2020-11-27_14-53-39-150, ypr, -49.74, -28.05, -55.13, areal, -1698, -6273, 3062
2020-11-27_14-53-39-169, ypr, -49.54, -27.85, -55.26, areal, -1716, -6290, 3125
2020-11-27_14-53-39-191, ypr, -49.35, -27.65, -55.37, areal, -1733, -6293, 3164
2020-11-27_14-53-39-210, ypr, -49.17, -27.48, -55.50, areal, -1746, -6236, 3088
2020-11-27_14-53-39-229, ypr, -48.98, -27.30, -55.62, areal, -1767, -6260, 3153
