2020-11-27_14-40-35-162, ypr, -94.01, 26.30, 5.06, areal, -2511, -849, 1331
2020-11-27_14-40-35-181, ypr, -92.70, 27.19, 5.97, areal, -2818, -790, 1327
2020-11-27_14-40-35-199, ypr, -91.38, 28.04, 6.89, areal, -3246, -899, 1292
2020-11-27_14-40-35-217, ypr, -90.05, 28.89, 7.84, areal, -3516, -1108, 1197
2020-11-27_14-40-35-235, ypr, -88.69, 29.75, 8.81, areal, -3752, -1260, 1194
2020-11-27_14-40-35-250, ypr, -88.01, 30.17, 9.31, areal, -3837, -1260, 1228
2020-11-27_14-40-35-268, ypr, -86.67, 30.98, 10.32, areal, -3930, -1234, 1258
2020-11-27_14-40-35-286, ypr, -85.37, 31.73, 11.31, areal, -4099, -1339, 1304
2020-11-27_14-40-35-301, ypr, -84.73, 32.10, 11.79, areal, -4150, -1435, 1356
2020-11-27_14-40-35-319, ypr, -83.46, 32.79, 12.76, areal, -4363, -1621, 1420
2020-11-27_14-40-35-336, ypr, -82.19, 33.45, 13.76, areal, -4630, -1703, 1376
2020-11-27_14-40-35-352, ypr, -81.57, 33.77, 14.25, areal, -4659, -1729, 1431
2020-11-27_14-40-35-369, ypr, -80.36, 34.39, 15.25, areal, -4554, -1715, 1554
2020-11-27_14-40-35-386, ypr, -79.23, 34.96, 16.17, areal, -4210, -1830, 1838
2020-11-27_14-40-35-402, ypr, -78.68, 35.21, 16.63, areal, -4051, -1864, 1889
2020-11-27_14-40-35-419, ypr, -77.62, 35.63, 17.53, areal, -3846, -1838, 1836
2020-11-27_14-40-35-437, ypr, -76.70, 35.92, 18.26, areal, -3400, -1797, 1941
2020-11-27_14-40-35-452, ypr, -76.31, 36.03, 18.57, areal, -3161, -1789, 1966
2020-11-27_14-40-35-469, ypr, -75.65, 36.11, 19.05, areal, -3026, -1789, 1696
2020-11-27_14-40-35-490, ypr, -75.12, 36.04, 19.36, areal, -3360, -1816, 1290
2020-11-27_14-40-35-507, ypr, -74.55, 35.84, 19.72, areal, -4224, -1706, 772
2020-11-27_14-40-35-526, ypr, -73.96, 35.59, 20.08, areal, -4991, -1754, 418
2020-11-27_14-40-35-542, ypr, -73.64, 35.50, 20.29, areal, -5268, -1825, 241
2020-11-27_14-40-35-559, ypr, -72.90, 35.38, 20.80, areal, -5564, -1867, 83
2020-11-27_14-40-35-577, ypr, -72.05, 35.34, 21.44, areal, -5564, -1774, 126
2020-11-27_14-40-35-592, ypr, -71.59, 35.35, 21.81, areal, -5483, -1731, 86
2020-11-27_14-40-35-609, ypr, -70.72, 35.42, 22.51, areal, -5131, -1821, 168
2020-11-27_14-40-35-627, ypr, -69.88, 35.45, 23.14, areal, -5016, -1976, 363
2020-11-27_14-40-35-642, ypr, -69.51, 35.44, 23.40, areal, -5004, -2081, 455
2020-11-27_14-40-35-660, ypr, -68.81, 35.39, 23.86, areal, -4960, -2138, 589
2020-11-27_14-40-35-677, ypr, -68.14, 35.26, 24.28, areal, -5014, -2048, 767
2020-11-27_14-40-35-695, ypr, -67.50, 35.09, 24.69, areal, -5039, -1975, 804
2020-11-27_14-40-35-710, ypr, -67.18, 35.02, 24.90, areal, -5035, -1977, 572
2020-11-27_14-40-35-727, ypr, -66.63, 34.89, 25.22, areal, -4969, -2216, 174
2020-11-27_14-40-35-745, ypr, -66.15, 34.72, 25.39, areal, -5033, -2345, 475
2020-11-27_14-40-35-760, ypr, -65.91, 34.59, 25.47, areal, -5062, -2276, 732
2020-11-27_14-40-35-778, ypr, -65.40, 34.32, 25.72, areal, -5125, -2044, 490
2020-11-27_14-40-35-795, ypr, -64.97, 34.20, 25.94, areal, -4968, -2431, -351
2020-11-27_14-40-35-816, ypr, -64.68, 34.03, 25.86, areal, -5078, -3044, 168
2020-11-27_14-40-35-835, ypr, -64.38, 33.62, 25.80, areal, -5503, -2515, 614
2020-11-27_14-40-35-852, ypr, -64.22, 33.41, 25.87, areal, -5535, -2045, 490
2020-11-27_14-40-35-869, ypr, -64.03, 33.06, 25.90, areal, -5227, -1941, 120
2020-11-27_14-40-35-887, ypr, -64.00, 32.75, 25.72, areal, -5106, -2452, -492
2020-11-27_14-40-35-905, ypr, -64.09, 32.40, 25.37, areal, -5322, -3020, -882
