2020-11-20_16-29-06.9999, ypr, 0.41, 0.00, -0.27, areal, -17, 4, 8
2020-11-20_16-29-06.9999, ypr, 0.41, 0.00, -0.27, areal, -14, 4, -3
2020-11-20_16-29-06.9999, ypr, 0.41, 0.00, -0.27, areal, -16, 2, -9
2020-11-20_16-29-07.00, ypr, 0.42, -0.01, -0.27, areal, -13, 5, -9
2020-11-20_16-29-07.02, ypr, 0.42, -0.01, -0.27, areal, -12, 5, -10
2020-11-20_16-29-07.05, ypr, 0.42, -0.01, -0.27, areal, -18, 9, -7
2020-11-20_16-29-07.07, ypr, 0.42, -0.01, -0.27, areal, -16, 14, -5
2020-11-20_16-29-07.10, ypr, 0.42, -0.01, -0.28, areal, -13, 11, -17
2020-11-20_16-29-07.12, ypr, 0.43, -0.01, -0.28, areal, -6, 6, -13
2020-11-20_16-29-07.15, ypr, 0.43, -0.01, -0.28, areal, -7, 7, -2
2020-11-20_16-29-07.17, ypr, 0.43, -0.01, -0.29, areal, -6, 8, -9
2020-11-20_16-29-07.20, ypr, 0.43, -0.01, -0.29, areal, -7, 8, 0
2020-11-20_16-29-07.22, ypr, 0.43, -0.01, -0.29, areal, -10, 10, -6
2020-11-20_16-29-07.25, ypr, 0.43, 0.00, -0.29, areal, -11, 13, -9
2020-11-20_16-29-07.27, ypr, 0.43, 0.00, -0.29, areal, -14, 6, -4
2020-11-20_16-29-07.30, ypr, 0.43, 0.00, -0.29, areal, -15, 6, -6
2020-11-20_16-29-07.32, ypr, 0.43, 0.00, -0.29, areal, -17, 8, 0
2020-11-20_16-29-07.35, ypr, 0.43, -0.01, -0.29, areal, -9, 10, -19
2020-11-20_16-29-07.37, ypr, 0.43, -0.01, -0.29, areal, -10, 9, -24
2020-11-20_16-29-07.40, ypr, 0.43, -0.02, -0.29, areal, -11, 10, -24
2020-11-20_16-29-07.42, ypr, 0.43, -0.02, -0.29, areal, -12, 10, -19
2020-11-20_16-29-07.45, ypr, 0.43, -0.03, -0.29, areal, -8, 11, -16
2020-11-20_16-29-07.47, ypr, 0.43, -0.05, -0.29, areal, -5, 11, -12
2020-11-20_16-29-07.50, ypr, 0.43, -0.05, -0.29, areal, 0, 8, -13
2020-11-20_16-29-07.52, ypr, 0.43, -0.07, -0.29, areal, 8, 3, -11
2020-11-20_16-29-07.55, ypr, 0.43, -0.09, -0.29, areal, 14, 15, -4
2020-11-20_16-29-07.57, ypr, 0.42, -0.10, -0.29, areal, 1, 44, -7
2020-11-20_16-29-07.59, ypr, 0.39, -0.14, -0.29, areal, 3, 33, -6
2020-11-20_16-29-07.62, ypr, 0.38, -0.15, -0.32, areal, 19, 5, -9
