2020-11-27_14-39-03-145, ypr, 17.53, 1.99, 2.55, areal, -1431, 647, 19
2020-11-27_14-39-03-162, ypr, 17.49, 1.95, 2.74, areal, -1036, 915, -489
2020-11-27_14-39-03-181, ypr, 17.44, 2.03, 3.00, areal, -193, 1397, -2934
2020-11-27_14-39-03-197, ypr, 17.42, 2.06, 2.92, areal, -1, 594, -3044
2020-11-27_14-39-03-215, ypr, 17.29, 1.92, 2.25, areal, 0, -1322, -1018
2020-11-27_14-39-03-233, ypr, 17.09, 1.63, 1.98, areal, -126, -1241, 631
2020-11-27_14-39-03-251, ypr, 16.83, 1.49, 2.11, areal, 622, -51, -2692
2020-11-27_14-39-03-270, ypr, 16.62, 1.39, 1.87, areal, 859, 93, -3951
2020-11-27_14-39-03-285, ypr, 16.52, 1.19, 1.71, areal, 30, 769, -1140
2020-11-27_14-39-03-303, ypr, 16.27, 0.44, 1.94, areal, -1453, 1880, 3155
2020-11-27_14-39-03-321, ypr, 15.89, 0.09, 2.36, areal, -95, 1310, 609
2020-11-27_14-39-03-336, ypr, 15.73, 0.06, 2.46, areal, 800, 877, -2309
2020-11-27_14-39-03-360, ypr, 15.38, -0.20, 1.93, areal, 915, -1304, -3574
2020-11-27_14-39-03-377, ypr, 15.32, -0.37, 1.61, areal, 715, -1823, -2070
2020-11-27_14-39-03-396, ypr, 15.27, -0.84, 1.41, areal, -589, -830, 1785
2020-11-27_14-39-03-416, ypr, 15.16, -1.06, 2.22, areal, -489, 1766, 771
2020-11-27_14-39-03-434, ypr, 15.15, -1.07, 2.77, areal, 233, 1516, -3534
2020-11-27_14-39-03-452, ypr, 15.19, -0.88, 2.54, areal, 470, 722, -3811
2020-11-27_14-39-03-472, ypr, 15.24, -1.06, 2.58, areal, -899, 858, 1715
2020-11-27_14-39-03-490, ypr, 15.36, -0.91, 3.02, areal, 162, 222, -822
2020-11-27_14-39-03-506, ypr, 15.40, -0.77, 3.03, areal, 652, -352, -3047
2020-11-27_14-39-03-525, ypr, 15.53, -0.46, 2.91, areal, 1142, -938, -6701
2020-11-27_14-39-03-544, ypr, 15.63, -0.39, 2.24, areal, 26, -1839, -1765
2020-11-27_14-39-03-562, ypr, 15.72, -0.43, 2.50, areal, -653, 528, 1476
2020-11-27_14-39-03-581, ypr, 15.81, -0.07, 3.27, areal, 614, 1558, -2617
2020-11-27_14-39-03-597, ypr, 15.85, 0.11, 3.27, areal, 1076, 732, -4307
2020-11-27_14-39-03-615, ypr, 15.99, 0.53, 3.04, areal, 1313, -48, -4271
2020-11-27_14-39-03-633, ypr, 16.20, 0.78, 2.41, areal, 867, -2182, -109
2020-11-27_14-39-03-651, ypr, 16.59, 1.44, 2.34, areal, 1534, -1690, -2217
2020-11-27_14-39-03-673, ypr, 16.98, 1.91, 2.66, areal, 191, 688, -2812
2020-11-27_14-39-03-691, ypr, 17.28, 2.12, 3.41, areal, -1036, 3127, 998
2020-11-27_14-39-03-706, ypr, 17.42, 2.34, 3.79, areal, -899, 3318, 397
2020-11-27_14-39-03-726, ypr, 17.75, 2.98, 4.18, areal, -186, 1633, -1524
2020-11-27_14-39-03-744, ypr, 18.01, 3.42, 3.73, areal, -444, -1895, -376
2020-11-27_14-39-03-764, ypr, 18.02, 3.81, 3.84, areal, -272, -1311, -1148
2020-11-27_14-39-03-783, ypr, 17.94, 4.05, 3.60, areal, -783, -2919, 363
2020-11-27_14-39-03-801, ypr, 17.68, 4.18, 4.15, areal, -907, 768, -1739
2020-11-27_14-39-03-821, ypr, 17.57, 4.76, 5.64, areal, 11, 5607, -8030
2020-11-27_14-39-03-837, ypr, 17.63, 5.05, 5.68, areal, -122, 4627, -6046
2020-11-27_14-39-03-855, ypr, 17.69, 5.10, 4.99, areal, -758, 724, 121
2020-11-27_14-39-03-875, ypr, 17.53, 5.35, 4.59, areal, 146, -2273, -1704
2020-11-27_14-39-03-893, ypr, 17.22, 5.59, 3.37, areal, 526, -5744, -2316
2020-11-27_14-39-03-912, ypr, 16.96, 5.55, 3.16, areal, -349, -2594, -1259
2020-11-27_14-39-03-931, ypr, 16.45, 5.51, 3.99, areal, 702, 4188, -2410
2020-11-27_14-39-03-947, ypr, 16.25, 5.54, 4.45, areal, 792, 5554, -1149
2020-11-27_14-39-03-967, ypr, 15.66, 4.95, 4.25, areal, -300, 2862, 2066
2020-11-27_14-39-03-984, ypr, 15.09, 4.55, 3.90, areal, -423, -698, 119
2020-11-27_14-39-04-003, ypr, 14.54, 4.20, 2.79, areal, -206, -3886, -2422
2020-11-27_14-39-04-022, ypr, 14.05, 4.03, 2.16, areal, 412, -4140, -4135
2020-11-27_14-39-04-040, ypr, 13.57, 3.76, 1.29, areal, -25, -2808, -1058
2020-11-27_14-39-04-057, ypr, 13.36, 3.27, 1.52, areal, -1061, 364, 1396
2020-11-27_14-39-04-075, ypr, 12.82, 2.43, 2.44, areal, -1764, 2587, 2909
2020-11-27_14-39-04-092, ypr, 12.37, 2.44, 3.74, areal, 605, 5614, -5629
2020-11-27_14-39-04-110, ypr, 12.08, 2.01, 2.53, areal, -499, -2802, -2433
2020-11-27_14-39-04-127, ypr, 11.89, 1.81, 1.79, areal, 44, -4280, -3327
2020-11-27_14-39-04-145, ypr, 11.52, 1.81, 0.91, areal, 689, -3361, -2998
2020-11-27_14-39-04-163, ypr, 11.20, 0.96, 1.22, areal, -1771, 2670, 2150
2020-11-27_14-39-04-181, ypr, 10.80, 0.35, 3.24, areal, -1402, 7038, 2137
2020-11-27_14-39-04-197, ypr, 10.56, 0.17, 3.60, areal, -662, 4811, -52
2020-11-27_14-39-04-215, ypr, 10.23, 0.04, 3.11, areal, 534, -686, -3398
2020-11-27_14-39-04-233, ypr, 9.88, -0.25, 1.58, areal, 317, -6553, -1540
2020-11-27_14-39-04-252, ypr, 9.53, -0.41, 1.16, areal, 1222, -4649, -3841
2020-11-27_14-39-04-271, ypr, 9.21, -0.58, 0.59, areal, 1685, -4468, -4192
2020-11-27_14-39-04-293, ypr, 9.08, -0.67, 0.89, areal, 1440, 2673, -3853
2020-11-27_14-39-04-311, ypr, 8.91, -1.72, 1.19, areal, -2298, 2502, 1692
2020-11-27_14-39-04-327, ypr, 8.72, -2.13, 1.52, areal, -1786, 1809, 1317
2020-11-27_14-39-04-346, ypr, 8.33, -2.03, 2.38, areal, 1110, 2910, -5317
2020-11-27_14-39-04-364, ypr, 8.18, -2.18, 1.64, areal, 1766, -1181, -6034
