2020-11-20_16-19-42.9999, ypr, 0.22, -0.08, 0.10, areal, 17, -15, -29
2020-11-20_16-19-42.9999, ypr, 0.22, -0.08, 0.10, areal, 11, -19, -34
2020-11-20_16-19-42.9999, ypr, 0.22, -0.08, 0.10, areal, 12, -11, -30
2020-11-20_16-19-42.9999, ypr, 0.22, -0.08, 0.10, areal, 16, -13, -27
2020-11-20_16-19-42.9999, ypr, 0.22, -0.08, 0.10, areal, 17, -4, -37
2020-11-20_16-19-42.9999, ypr, 0.22, -0.08, 0.10, areal, 14, 0, -22
2020-11-20_16-19-42.9999, ypr, 0.22, -0.08, 0.10, areal, 14, -2, -21
2020-11-20_16-19-42.9999, ypr, 0.22, -0.07, 0.10, areal, 6, -7, -24
2020-11-20_16-19-42.9999, ypr, 0.22, -0.08, 0.10, areal, 9, -11, -33
2020-11-20_16-19-42.9999, ypr, 0.22, -0.08, 0.10, areal, 5, -17, -36
2020-11-20_16-19-42.9999, ypr, 0.22, -0.08, 0.10, areal, 11, -21, -39
2020-11-20_16-19-42.9999, ypr, 0.22, -0.08, 0.09, areal, 20, -16, -30
2020-11-20_16-19-42.9999, ypr, 0.23, -0.08, 0.08, areal, 19, -10, -29
2020-11-20_16-19-42.9999, ypr, 0.23, -0.07, 0.08, areal, 18, -6, -22
2020-11-20_16-19-42.9999, ypr, 0.23, -0.08, 0.08, areal, 18, -2, -25
2020-11-20_16-19-43.00, ypr, 0.23, -0.08, 0.08, areal, 14, -4, -25
2020-11-20_16-19-43.04, ypr, 0.22, -0.08, 0.09, areal, 9, -12, -36
2020-11-20_16-19-43.08, ypr, 0.22, -0.09, 0.10, areal, 11, -10, -24
2020-11-20_16-19-43.12, ypr, 0.23, -0.09, 0.09, areal, 6, -3, -17
2020-11-20_16-19-43.16, ypr, 0.23, -0.09, 0.08, areal, 10, -3, -14
2020-11-20_16-19-43.20, ypr, 0.23, -0.08, 0.09, areal, 15, -3, -27
2020-11-20_16-19-43.24, ypr, 0.23, -0.09, 0.10, areal, 20, -6, -28
2020-11-20_16-19-43.28, ypr, 0.22, -0.09, 0.10, areal, 14, -17, -26
2020-11-20_16-19-43.31, ypr, 0.22, -0.09, 0.10, areal, 15, -25, -22
2020-11-20_16-19-43.35, ypr, 0.23, -0.09, 0.09, areal, 9, -19, -25
2020-11-20_16-19-43.39, ypr, 0.23, -0.09, 0.08, areal, 10, -13, -21
2020-11-20_16-19-43.43, ypr, 0.23, -0.09, 0.09, areal, 18, -17, -20
2020-11-20_16-19-43.47, ypr, 0.23, -0.09, 0.10, areal, 15, -17, -27
2020-11-20_16-19-43.51, ypr, 0.23, -0.09, 0.10, areal, 12, -8, -35
2020-11-20_16-19-43.55, ypr, 0.23, -0.09, 0.10, areal, 16, -12, -35
2020-11-20_16-19-43.59, ypr, 0.23, -0.09, 0.09, areal, 19, -6, -28
2020-11-20_16-19-43.63, ypr, 0.24, -0.09, 0.09, areal, 20, -4, -25
2020-11-20_16-19-43.67, ypr, 0.24, -0.09, 0.10, areal, 11, -4, -27
2020-11-20_16-19-43.71, ypr, 0.24, -0.09, 0.10, areal, 13, -2, -29
2020-11-20_16-19-43.75, ypr, 0.24, -0.09, 0.10, areal, 11, -9, -33
2020-11-20_16-19-43.79, ypr, 0.24, -0.09, 0.10, areal, 6, -15, -36
2020-11-20_16-19-43.83, ypr, 0.24, -0.09, 0.10, areal, 10, -18, -41
2020-11-20_16-19-43.86, ypr, 0.09, -0.20, -0.13, areal, 66, -59, -51
2020-11-20_16-19-43.90, ypr, -0.43, -0.15, -0.29, areal, 282, -249, -32
2020-11-20_16-19-43.94, ypr, -0.57, -0.13, -0.31, areal, 200, -193, -90
2020-11-20_16-19-43.98, ypr, -0.28, -0.22, -0.23, areal, 22, -244, -51
2020-11-20_16-19-43.9999, ypr, 0.22, -0.27, -0.14, areal, -55, 78, -15
2020-11-20_16-19-43.9999, ypr, 0.49, -0.28, -0.09, areal, -39, 92, -51
2020-11-20_16-19-43.9999, ypr, 0.69, -0.29, 0.05, areal, 6, 375, -64
2020-11-20_16-19-43.9999, ypr, 0.71, -0.28, 0.05, areal, 41, 222, -50
2020-11-20_16-19-43.9999, ypr, 0.73, -0.27, 0.06, areal, 39, 177, -53
2020-11-20_16-19-43.9999, ypr, 0.90, -0.25, 0.10, areal, 76, 96, -37
2020-11-20_16-19-43.9999, ypr, 1.14, -0.23, 0.13, areal, 74, 43, -33
2020-11-20_16-19-43.9999, ypr, 1.28, -0.20, 0.16, areal, 88, -2, -16
2020-11-20_16-19-43.9999, ypr, 1.62, -0.16, 0.12, areal, 126, -30, -8
2020-11-20_16-19-43.9999, ypr, 1.87, -0.13, 0.16, areal, 102, 36, -21
2020-11-20_16-19-43.9999, ypr, 1.90, -0.12, 0.19, areal, 25, 44, -41
2020-11-20_16-19-43.9999, ypr, 1.96, -0.12, 0.28, areal, 16, -4, -26
2020-11-20_16-19-43.9999, ypr, 1.97, -0.14, 0.22, areal, 40, -21, -12
2020-11-20_16-19-43.9999, ypr, 1.99, -0.15, 0.20, areal, 53, -24, -35
2020-11-20_16-19-43.9999, ypr, 2.03, -0.16, 0.21, areal, 38, -8, -21
2020-11-20_16-19-43.9999, ypr, 2.13, -0.15, 0.22, areal, 102, -61, -10
2020-11-20_16-19-43.9999, ypr, 2.20, -0.14, 0.22, areal, 85, -99, -7
2020-11-20_16-19-43.9999, ypr, 2.32, -0.15, 0.24, areal, 15, 4, -20
2020-11-20_16-19-43.9999, ypr, 2.38, -0.15, 0.26, areal, 21, 24, -22
2020-11-20_16-19-43.9999, ypr, 2.39, -0.15, 0.26, areal, 15, 9, -21
2020-11-20_16-19-43.9999, ypr, 2.36, -0.14, 0.24, areal, 22, 0, -19
2020-11-20_16-19-43.9999, ypr, 2.29, -0.14, 0.24, areal, 36, -19, -10
2020-11-20_16-19-43.9999, ypr, 2.13, -0.14, 0.20, areal, 9, 8, -34
2020-11-20_16-19-43.9999, ypr, 2.08, -0.14, 0.19, areal, 6, 8, -29
2020-11-20_16-19-43.9999, ypr, 2.04, -0.13, 0.19, areal, 4, 5, -20
2020-11-20_16-19-43.9999, ypr, 2.02, -0.13, 0.19, areal, 28, 7, -21
2020-11-20_16-19-43.9999, ypr, 2.03, -0.12, 0.19, areal, 36, 8, -23
2020-11-20_16-19-43.9999, ypr, 2.03, -0.12, 0.19, areal, 39, 9, -23
2020-11-20_16-19-43.9999, ypr, 1.96, -0.10, 0.39, areal, -58, -23, -105
2020-11-20_16-19-43.9999, ypr, 1.96, -0.02, 0.58, areal, 46, -71, 3
2020-11-20_16-19-43.9999, ypr, 2.06, -0.04, 0.47, areal, 56, -67, -26
2020-11-20_16-19-43.9999, ypr, 2.05, -0.02, 0.52, areal, 62, -67, -68
2020-11-20_16-19-43.9999, ypr, 1.92, 0.10, 0.87, areal, 20, -158, -37
2020-11-20_16-19-43.9999, ypr, 1.87, 0.18, 0.96, areal, -24, -213, -9
2020-11-20_16-19-44.00, ypr, 1.85, 0.19, 0.97, areal, -34, -220, -14
2020-11-20_16-19-44.03, ypr, 1.81, 0.22, 0.98, areal, -59, -223, -17
2020-11-20_16-19-44.06, ypr, 1.81, 0.22, 0.97, areal, -58, -228, -18
2020-11-20_16-19-44.09, ypr, 1.81, 0.20, 0.93, areal, -57, -234, -31
2020-11-20_16-19-44.12, ypr, 1.81, 0.20, 0.91, areal, -62, -239, -33
2020-11-20_16-19-44.15, ypr, 1.81, 0.19, 0.90, areal, -53, -240, -31
2020-11-20_16-19-44.19, ypr, 1.82, 0.18, 0.86, areal, -46, -233, -29
2020-11-20_16-19-44.22, ypr, 1.82, 0.17, 0.84, areal, -42, -221, -35
