2020-11-27_14-34-23-875, ypr, 165.62, 11.05, 3.45, areal, -1069, 151, -1114
2020-11-27_14-34-23-891, ypr, 165.60, 10.95, 3.43, areal, -1156, -115, -1042
2020-11-27_14-34-23-909, ypr, 165.58, 10.79, 3.37, areal, -1307, -532, -1441
2020-11-27_14-34-23-927, ypr, 165.58, 10.75, 3.56, areal, -1230, 473, -2277
2020-11-27_14-34-23-945, ypr, 165.58, 10.70, 3.68, areal, -1067, 863, -1945
2020-11-27_14-34-23-961, ypr, 165.58, 10.69, 3.76, areal, -923, 1058, -1929
2020-11-27_14-34-23-978, ypr, 165.60, 10.59, 3.76, areal, -912, 302, -1122
2020-11-27_14-34-23-996, ypr, 165.61, 10.52, 3.61, areal, -767, -642, -1381
2020-11-27_14-34-24-014, ypr, 165.57, 10.53, 3.54, areal, -730, -672, -2492
2020-11-27_14-34-24-030, ypr, 165.55, 10.51, 3.58, areal, -864, 10, -2756
2020-11-27_14-34-24-048, ypr, 165.57, 10.38, 3.79, areal, -1245, 1116, -1877
2020-11-27_14-34-24-066, ypr, 165.63, 10.26, 3.91, areal, -1207, 952, -1471
2020-11-27_14-34-24-081, ypr, 165.65, 10.23, 3.90, areal, -1115, 445, -1501
2020-11-27_14-34-24-103, ypr, 165.68, 10.22, 3.70, areal, -1052, -808, -2134
2020-11-27_14-34-24-123, ypr, 165.71, 10.28, 3.68, areal, -1171, -118, -2165
2020-11-27_14-34-24-140, ypr, 165.75, 10.26, 3.71, areal, -1208, 378, -1026
2020-11-27_14-34-24-158, ypr, 165.84, 10.24, 4.13, areal, -1512, 1394, -511
2020-11-27_14-34-24-176, ypr, 165.94, 10.24, 4.50, areal, -1714, 1362, -729
2020-11-27_14-34-24-194, ypr, 166.04, 10.39, 4.69, areal, -1578, 343, -1823
2020-11-27_14-34-24-214, ypr, 166.14, 10.66, 4.64, areal, -1330, -748, -2446
2020-11-27_14-34-24-230, ypr, 166.20, 10.82, 4.65, areal, -1284, -803, -2525
2020-11-27_14-34-24-249, ypr, 166.29, 11.07, 4.88, areal, -1351, 277, -1923
2020-11-27_14-34-24-267, ypr, 166.37, 11.28, 5.18, areal, -1377, 664, -2055
2020-11-27_14-34-24-284, ypr, 166.43, 11.43, 5.25, areal, -1498, -157, -1056
2020-11-27_14-34-24-300, ypr, 166.45, 11.57, 5.27, areal, -1340, -520, -1319
2020-11-27_14-34-24-319, ypr, 166.49, 11.85, 5.43, areal, -1306, -440, -1030
2020-11-27_14-34-24-337, ypr, 166.54, 12.16, 5.77, areal, -1235, -49, -1089
2020-11-27_14-34-24-355, ypr, 166.57, 12.70, 6.14, areal, -493, 270, -2722
2020-11-27_14-34-24-370, ypr, 166.60, 13.01, 6.46, areal, -526, 1336, -3283
2020-11-27_14-34-24-388, ypr, 166.71, 13.33, 6.90, areal, -518, 1741, -1958
2020-11-27_14-34-24-407, ypr, 166.75, 13.84, 6.97, areal, 565, 181, -2641
2020-11-27_14-34-24-427, ypr, 166.69, 14.31, 6.57, areal, 1006, -1553, -4020
2020-11-27_14-34-24-445, ypr, 166.63, 14.36, 6.31, areal, 420, -576, -2962
2020-11-27_14-34-24-460, ypr, 166.60, 14.31, 6.25, areal, 490, 12, -2212
2020-11-27_14-34-24-478, ypr, 166.54, 14.10, 6.28, areal, 312, 1622, 521
2020-11-27_14-34-24-495, ypr, 166.57, 13.98, 6.78, areal, 494, 1916, 322
2020-11-27_14-34-24-510, ypr, 166.65, 14.07, 6.79, areal, 792, 349, -446
2020-11-27_14-34-24-527, ypr, 166.96, 14.62, 6.86, areal, 1195, -726, -4901
2020-11-27_14-34-24-545, ypr, 167.50, 15.13, 6.86, areal, 610, -1648, -5440
2020-11-27_14-34-24-560, ypr, 167.77, 15.25, 6.68, areal, -102, -1688, -3090
2020-11-27_14-34-24-578, ypr, 168.22, 14.76, 6.98, areal, -2035, 886, 1683
2020-11-27_14-34-24-596, ypr, 168.46, 14.59, 7.63, areal, -2466, 890, -235
2020-11-27_14-34-24-611, ypr, 168.60, 14.67, 7.69, areal, -2783, -19, -2175
2020-11-27_14-34-24-629, ypr, 168.95, 14.74, 7.54, areal, -3803, -1572, -1285
2020-11-27_14-34-24-647, ypr, 169.33, 14.59, 7.09, areal, -4087, -3512, 391
2020-11-27_14-34-24-665, ypr, 169.55, 14.90, 7.01, areal, -3435, -2876, 356
2020-11-27_14-34-24-681, ypr, 169.64, 15.03, 7.22, areal, -3182, -1326, 469
2020-11-27_14-34-24-698, ypr, 169.77, 15.36, 8.20, areal, -2690, 2790, -1609
2020-11-27_14-34-24-720, ypr, 169.96, 15.55, 8.24, areal, -2905, 758, -310
2020-11-27_14-34-24-738, ypr, 169.99, 15.70, 7.33, areal, -2833, -3036, -780
2020-11-27_14-34-24-756, ypr, 169.98, 15.72, 6.60, areal, -3235, -3908, 2915
2020-11-27_14-34-24-775, ypr, 169.73, 15.20, 6.88, areal, -4420, -828, 2134
2020-11-27_14-34-24-790, ypr, 169.52, 15.32, 7.50, areal, -4069, 1344, -1476
2020-11-27_14-34-24-808, ypr, 169.20, 15.84, 8.24, areal, -3245, 3466, -5374
2020-11-27_14-34-24-826, ypr, 169.10, 16.08, 7.40, areal, -2972, -720, -678
2020-11-27_14-34-24-844, ypr, 168.99, 16.01, 6.40, areal, -3083, -3472, 2160
2020-11-27_14-34-24-860, ypr, 168.84, 15.96, 5.96, areal, -3214, -3901, 3495
2020-11-27_14-34-24-877, ypr, 168.25, 15.66, 5.22, areal, -3084, -4757, 2750
2020-11-27_14-34-24-895, ypr, 167.41, 15.79, 4.83, areal, -2341, -4500, -152
2020-11-27_14-34-24-911, ypr, 166.97, 15.82, 4.60, areal, -2424, -3174, -2591
2020-11-27_14-34-24-929, ypr, 166.40, 16.02, 5.41, areal, -3364, 3879, -6149
2020-11-27_14-34-24-947, ypr, 166.10, 15.67, 4.67, areal, -4331, 395, 170
2020-11-27_14-34-24-964, ypr, 165.43, 15.78, 4.15, areal, -2703, 422, -458
2020-11-27_14-34-24-980, ypr, 165.20, 15.72, 3.75, areal, -3014, -2078, 1482
2020-11-27_14-34-24-997, ypr, 164.23, 15.15, 2.27, areal, -3278, -5037, 3013
2020-11-27_14-34-25-016, ypr, 163.05, 14.96, 1.88, areal, -2920, -3463, 1220
2020-11-27_14-34-25-036, ypr, 161.76, 14.66, 2.14, areal, -2614, 2821, -3363
2020-11-27_14-34-25-054, ypr, 160.91, 14.59, 2.58, areal, -3278, 4063, -2485
2020-11-27_14-34-25-070, ypr, 160.45, 14.25, 1.98, areal, -3443, 1927, -538
2020-11-27_14-34-25-088, ypr, 159.49, 14.21, 0.97, areal, -1818, -1035, -731
2020-11-27_14-34-25-106, ypr, 158.38, 13.61, -0.93, areal, -2690, -5387, 1507
2020-11-27_14-34-25-124, ypr, 156.86, 13.00, -1.92, areal, -1819, -3742, 1304
2020-11-27_14-34-25-140, ypr, 156.11, 12.63, -2.47, areal, -2001, -4638, 2894
2020-11-27_14-34-25-159, ypr, 154.45, 11.69, -2.56, areal, -2191, 1927, -2061
2020-11-27_14-34-25-177, ypr, 153.11, 11.07, -2.46, areal, -3311, 3162, -2690
2020-11-27_14-34-25-195, ypr, 151.58, 10.20, -3.86, areal, -2211, -191, -1600
2020-11-27_14-34-25-211, ypr, 150.87, 10.11, -4.52, areal, -909, -1390, -2672
2020-11-27_14-34-25-230, ypr, 149.43, 9.30, -6.05, areal, -1540, -1930, 415
2020-11-27_14-34-25-248, ypr, 147.55, 7.93, -6.59, areal, -1456, 1306, 2082
2020-11-27_14-34-25-266, ypr, 145.67, 6.58, -7.44, areal, -1502, 273, 865
2020-11-27_14-34-25-282, ypr, 144.63, 5.88, -7.96, areal, -1764, 680, 40
2020-11-27_14-34-25-299, ypr, 142.44, 4.01, -8.55, areal, -2611, 2155, 3304
2020-11-27_14-34-25-317, ypr, 140.11, 2.34, -8.75, areal, -1893, 2088, 4323
2020-11-27_14-34-25-339, ypr, 137.74, 0.74, -10.04, areal, -539, -2437, 2747
2020-11-27_14-34-25-357, ypr, 135.40, -0.63, -11.10, areal, 1509, -3223, -635
2020-11-27_14-34-25-375, ypr, 133.08, -2.62, -12.42, areal, 1311, -2867, -3962
2020-11-27_14-34-25-395, ypr, 130.60, -5.00, -12.90, areal, -1906, 1389, 170
2020-11-27_14-34-25-411, ypr, 129.06, -6.52, -12.62, areal, -2926, 3690, 2372
2020-11-27_14-34-25-430, ypr, 125.87, -8.72, -11.69, areal, -643, 2975, 3080
2020-11-27_14-34-25-449, ypr, 123.06, -10.41, -12.14, areal, 2409, -480, -84
2020-11-27_14-34-25-468, ypr, 120.34, -12.63, -12.96, areal, 3722, -512, -2665
2020-11-27_14-34-25-487, ypr, 117.23, -15.44, -12.45, areal, -342, 3517, 2045
2020-11-27_14-34-25-505, ypr, 113.57, -18.43, -11.33, areal, -2232, 1346, 4314
2020-11-27_14-34-25-521, ypr, 111.96, -19.47, -11.48, areal, -514, -2403, 3348
2020-11-27_14-34-25-540, ypr, 108.51, -21.75, -11.89, areal, 1934, -5279, 935
2020-11-27_14-34-25-558, ypr, 104.82, -24.04, -11.11, areal, 3446, -385, -1759
2020-11-27_14-34-25-576, ypr, 100.31, -27.25, -8.57, areal, -1713, 7438, 3349
2020-11-27_14-34-25-595, ypr, 96.32, -28.63, -8.13, areal, -3633, -1392, 6115
2020-11-27_14-34-25-611, ypr, 94.48, -29.70, -8.39, areal, -4953, -5077, 5527
2020-11-27_14-34-25-630, ypr, 89.54, -31.09, -7.01, areal, 4563, 848, -1259
2020-11-27_14-34-25-651, ypr, 85.47, -32.26, -6.55, areal, 4059, -4601, 156
2020-11-27_14-34-25-670, ypr, 81.71, -35.04, -7.28, areal, 845, -8369, 419
2020-11-27_14-34-25-688, ypr, 76.67, -37.52, -5.32, areal, -1434, -1239, 3338
2020-11-27_14-34-25-707, ypr, 71.72, -38.20, -5.13, areal, 1114, -3159, -2032
2020-11-27_14-34-25-726, ypr, 66.79, -40.24, -5.54, areal, 2778, -2029, -6654
2020-11-27_14-34-25-744, ypr, 62.25, -41.21, -7.51, areal, 1981, -5522, -7092
2020-11-27_14-34-25-761, ypr, 59.89, -41.96, -9.16, areal, 1392, -6903, -7769
2020-11-27_14-34-25-780, ypr, 54.19, -43.90, -12.59, areal, 1614, -8104, -8034
2020-11-27_14-34-25-798, ypr, 48.45, -47.05, -16.98, areal, -88, -8074, -13269
2020-11-27_14-34-25-817, ypr, 39.68, -48.55, -22.04, areal, 3226, -10742, -7987
2020-11-27_14-34-25-836, ypr, 29.85, -50.44, -27.61, areal, 1841, -11160, -3885
2020-11-27_14-34-25-855, ypr, 19.83, -52.78, -29.93, areal, 925, -12397, 3641
2020-11-27_14-34-25-871, ypr, 13.71, -55.69, -30.34, areal, -1690, -12939, 6189
2020-11-27_14-34-25-890, ypr, 4.68, -57.45, -31.89, areal, 1821, -13455, 9289
2020-11-27_14-34-25-908, ypr, -0.48, -60.85, -29.84, areal, 2486, -11322, 7166
2020-11-27_14-34-25-927, ypr, -4.04, -61.64, -27.12, areal, 6562, -8725, 3455
2020-11-27_14-34-25-949, ypr, -7.69, -63.46, -25.13, areal, 4358, -7729, 1882
2020-11-27_14-34-25-968, ypr, -12.11, -64.76, -21.93, areal, 8452, -7419, 2107
2020-11-27_14-34-25-987, ypr, -15.48, -65.26, -19.55, areal, 7027, -7289, 2390
2020-11-27_14-34-26-006, ypr, -20.28, -66.84, -16.65, areal, 7235, -8730, 2994
